course,EX,A,B,C,D,P,F,session
BM40004-INTRODUCTION TO HUMAN BEHAVIOUR IN ORGANISATION ,2,2,10,14,18,20,2,Autumn 22
HS60084- ,1,3,7,2,1,0,0,Autumn 22
MA29005-DESIGN & ANALYSIS OF ALGORITHMS LAB. ,0,2,0,0,0,0,0,Autumn 22
ET60003- ,1,1,2,1,0,0,0,Autumn 22
BT20204-CELL AND MOLECULAR BIOLOGY ,4,10,25,74,16,1,0,Spring 22
MM40017-BASICS OF RADIOBIOLOGY RADIOPHARMACEUTICAL CHEMISTRY AND IN VITRO DIAGNOSTIC TECHNIQUES ,1,0,0,0,0,0,0,Autumn 22
CL60008- ,1,7,2,0,0,0,0,Spring 22
CE60115- ,0,0,0,2,4,1,0,Autumn 22
CL60028- ,0,1,0,0,0,1,0,Spring 22
CL61012- ,0,1,0,1,0,0,0,Spring 22
CE60221- ,0,0,1,0,0,0,0,Autumn 22
CE41627-ADVANCED STRUCTURAL ANALYSIS ,0,0,2,2,1,0,0,Autumn 22
CE41629-THEORY OF ELASTICITY AND PLASTICITY ,0,2,2,1,0,0,0,Autumn 22
PH21206-QUANTUM PHYSICS ,8,40,19,6,5,4,3,Spring 22
CE60011- ,0,0,0,1,1,3,0,Autumn 22
CE60013- ,0,0,1,1,3,0,0,Autumn 22
CE60021- ,3,10,6,2,1,0,0,Autumn 22
CE60023- ,4,7,6,1,1,2,0,Autumn 22
CE60135- ,7,13,2,0,0,0,0,Autumn 22
CE69023- ,1,13,8,0,0,0,0,Autumn 22
HS40072-SOCIOLOGY OF  SCIENCE ,2,7,4,3,12,7,0,Autumn 22
MA21202-MODERN ALGEBRA ,2,25,55,13,0,1,0,Spring 22
CE60128- ,0,0,1,0,0,0,0,Spring 22
CD61004- ,1,2,3,1,0,1,0,Autumn 22
MA60035- ,0,0,1,0,0,0,0,Autumn 22
MA60259- ,1,15,43,14,6,1,1,Autumn 22
CH30012-TRANSPORT PHENOMENA ,4,9,19,40,26,7,0,Spring 22
CH30014-CHEMICAL PROCESS TECHNOLOGY ,10,50,31,14,0,0,0,Spring 22
CH30016-COMPUTER AIDED PROCESS ENGINEERING ,10,38,33,21,3,0,0,Spring 22
CH31010-MASS TRANSFER II ,10,49,40,6,0,0,0,Spring 22
CH39020-INSTRUMENTATION AND PROCESS CONTROL LABORATORY ,0,39,43,17,3,3,0,Spring 22
CH39022-PROCESS EQUIPMENT DESIGN-II ,26,51,26,2,0,0,0,Spring 22
CH47025-PROJECT-I ,18,22,16,8,5,1,1,Autumn 22
CH49015-REACTION ENGINEERING LABORATORY ,18,64,19,4,0,0,0,Autumn 22
CH49019-COMPUTER AIDED PROCESS ENGINEERING LAB. ,12,37,30,17,5,4,0,Autumn 22
MS31007-MATERIAL SCIENCE ,4,14,19,12,5,2,0,Autumn 22
CH62007- ,1,2,0,1,2,0,0,Autumn 22
CH62009- ,0,2,2,7,6,0,0,Autumn 22
MA60247- ,0,0,1,0,0,0,0,Autumn 22
CH42006-COMPUTER METHODS IN CHEM. ENGG. ,3,4,1,2,1,0,0,Spring 22
CH42014-FUEL TECHNOLOGY ,0,2,1,0,1,1,0,Spring 22
CH62021- ,4,1,1,0,0,0,0,Autumn 22
CH62047- ,0,0,1,0,0,0,0,Autumn 22
CH71002- ,0,1,0,1,0,0,0,Autumn 22
AT60201- ,2,6,6,4,1,0,0,Autumn 22
MA30006-SWITCHING & FINITE AUTOMATA ,4,12,36,12,0,0,0,Spring 22
MM61501- ,0,1,1,4,0,0,0,Autumn 22
BS20001-SCIENCE OF LIVING SYSTEM ,98,26,1,0,2,0,0,Spring 22
CS30002-OPERATING SYSTEMS ,24,28,36,25,13,0,0,Spring 22
CS31006-COMPUTER NETWORKS ,6,25,39,40,14,4,0,Spring 22
CS39002-OPERATING SYSTEMS LABORATORY ,60,18,16,14,18,0,0,Spring 22
CS39006-NETWORKS LAB. ,30,35,26,12,15,9,1,Spring 22
CS39008-PROJECT SEMINAR ,86,26,12,3,0,0,0,Spring 22
CS43002-DATABASE MANAGEMENT SYSTEMS ,12,12,17,8,1,0,0,Spring 22
EV20001-ENVIRONMENTAL SCIENCE ,88,26,10,1,2,0,0,Spring 22
CS41001-THEORY OF COMPUTATION ,15,23,43,26,12,7,1,Autumn 22
CS47007-PROJECT-I ,43,30,21,6,2,3,3,Autumn 22
CS60027- ,4,4,2,0,0,0,0,Autumn 22
CS60047- ,3,1,1,1,0,0,1,Autumn 22
MA60261- ,0,0,0,3,1,1,2,Autumn 22
BM63020- ,0,0,0,1,0,0,0,Spring 22
CS60059- ,0,0,0,1,0,0,0,Spring 22
HS30201-INDIAN ECONOMY ,6,21,28,11,2,1,0,Autumn 22
PH41014-CONDENSED MATTER PHYSICS-I ,3,63,15,5,1,0,0,Spring 22
CS60045- ,0,0,0,0,0,1,0,Spring 22
ET60023- ,0,0,0,0,0,2,0,Spring 22
CY31010-STRATEGIES & METHODS IN ORGANIC SYNTHESIS ,1,6,13,2,2,0,0,Spring 22
CY38002-VIVA ,2,3,3,9,7,0,0,Spring 22
CY39004-INORGANIC CHEMISTRY LABORATORY II ,10,11,3,0,0,0,0,Spring 22
CY41012-MOLECULAR THERMODYNAMICS & KINETICS ,7,50,14,4,2,1,0,Spring 22
CY41016-ANALYTICAL & ENVIRONMENTAL CHEMISTRY ,9,33,23,12,1,0,0,Spring 22
"CY41005-INORGANIC CHEMISTRY: PRINCIPLE,STRUCTURE & REACTIVITY ",7,4,5,4,3,1,0,Autumn 22
CY41007-GROUP THEORY FOR CHEMISTS ,1,3,1,9,4,6,0,Autumn 22
CY41011-PRINCIPLES OF ORGANIC SYNTHESIS ,1,4,7,5,7,0,0,Autumn 22
CY49001-ADVANCED INORGANIC CHEMISTRY LABORATORY ,5,11,7,1,0,0,0,Autumn 22
CY60101- ,2,7,4,2,8,6,2,Autumn 22
CY69101- ,10,9,1,3,1,0,0,Autumn 22
RD30002-TRANSFER AND MANAGEMENT OF RURAL TECHNOLOGY ,0,8,5,2,3,1,0,Spring 22
CS29003-ALGORITHMS LABORATORY ,6,2,2,0,1,0,0,Autumn 22
EC31002-DIGITAL COMMUNICATION ,19,29,51,32,7,1,0,Spring 22
EC31004-VLSI ENGG. ,28,56,30,15,7,1,1,Spring 22
EC31008-DIGITAL SIGNAL PROCESSING ,30,29,36,31,11,1,0,Spring 22
EC39002-DIGITAL COMMUNICATION LABORATORY ,14,22,46,46,5,5,0,Spring 22
EC39004-VLSI LABORATORY ,32,23,20,21,13,25,4,Spring 22
EC39006-DSP LABORATORY ,8,39,76,15,0,0,1,Spring 22
EC47007-PROJECT-I ,14,10,16,1,0,0,2,Autumn 22
EC49001-MICROCONTROLLER SYSTEMS LABORATORY ,41,60,22,14,0,0,0,Autumn 22
EC60501- ,1,0,3,2,0,0,0,Autumn 22
EC60503- ,2,1,0,0,0,0,0,Autumn 22
TE61002- ,2,1,1,1,2,1,0,Spring 22
MA60241- ,1,0,0,0,0,0,0,Autumn 22
EC60101- ,1,1,3,5,0,1,0,Autumn 22
TE60003- ,2,2,1,0,1,0,0,Autumn 22
EC47003-PROJECT-I ,10,17,13,5,0,0,3,Autumn 22
EC60307- ,4,4,1,0,0,0,0,Autumn 22
EC61215- ,2,2,0,1,1,0,0,Autumn 22
EC69213- ,6,0,0,0,0,0,0,Autumn 22
EC61205- ,2,1,1,0,0,0,0,Autumn 22
EC61207- ,0,1,1,0,2,0,0,Autumn 22
EC61213- ,2,1,1,0,0,0,0,Autumn 22
EC69209- ,3,0,1,0,0,0,0,Autumn 22
EC61201- ,5,6,13,13,5,9,0,Autumn 22
EC61203- ,8,7,2,12,10,12,0,Autumn 22
EC61211- ,12,9,10,14,6,0,0,Autumn 22
EC69211- ,34,14,1,1,0,0,0,Autumn 22
EE30004-EMBEDDED SYSTEMS ,3,24,44,46,22,2,0,Spring 22
EE31002-POWER SYSTEMS ,4,48,39,9,1,1,0,Spring 22
EE39002-POWER SYSTEMS LAB. ,1,20,45,24,11,0,1,Spring 22
EE39004-EMBEDDED SYSTEMS LAB. ,38,65,18,10,5,1,3,Spring 22
MA20106-PROBABILITY & STOCHASTIC PROCESSES ,69,19,10,4,1,1,0,Spring 22
EE41001-INDUSTRIAL INSTRUMENTATION ,2,10,18,36,51,64,7,Autumn 22
EE47009-PROJECT-I ,6,4,8,1,1,0,2,Autumn 22
EE49001-CONTROL AND ELECTRONIC SYSTEM DESIGN ,4,23,23,13,3,1,1,Autumn 22
IE30006-DATA COMMUNICATION ,2,10,30,12,7,0,0,Spring 22
EE41013-DIGITAL SIGNAL PROCESSING ,0,3,9,5,8,33,15,Autumn 22
EE60045- ,1,1,0,2,1,1,0,Autumn 22
EE60032- ,3,1,0,2,1,0,0,Autumn 22
ES60004- ,3,7,9,2,3,2,0,Autumn 22
EC21206-ELECTROMAGNETIC ENGINEERING ,39,41,65,18,4,0,0,Spring 22
EC21107-SEMICONDUCTOR DEVICES ,0,1,2,1,0,0,0,Autumn 22
MS60009- ,0,2,6,1,0,2,0,Autumn 22
PH31207-CLASSICAL MECHANICS ,4,10,6,11,5,1,1,Autumn 22
PH40023-ELECTRODYNAMICS ,0,1,0,0,0,0,0,Autumn 22
PH41004-OPTICS ,5,11,13,18,18,17,5,Autumn 22
EE60033- ,0,0,0,0,0,1,0,Autumn 22
EE69203- ,0,0,1,1,0,0,0,Autumn 22
EE47002-PROJECT ,6,8,6,0,0,0,2,Autumn 22
EE60031- ,1,0,1,0,0,0,0,Autumn 22
EE61201- ,1,0,0,0,0,0,0,Autumn 22
EE69247- ,1,0,0,0,0,0,0,Autumn 22
EE69249- ,1,0,0,0,0,0,0,Autumn 22
EE60023- ,0,0,0,1,0,0,0,Autumn 22
EE60025- ,0,0,0,0,0,1,0,Autumn 22
EE60026- ,0,0,0,0,1,0,0,Autumn 22
RT30019-SCI AND TECH. RUBBER & RUBBER LIKE MATERIALS ,1,0,3,9,10,17,4,Autumn 22
AT60203- ,1,0,1,0,0,0,0,Autumn 22
EE61203- ,2,1,0,1,0,1,0,Autumn 22
MM61509- ,1,0,0,0,0,0,0,Autumn 22
EE40013-DIGITAL SIGNAL PROCESSING ,5,6,14,32,21,71,16,Autumn 22
EE60037- ,6,8,7,7,5,2,0,Autumn 22
EE69205- ,13,15,6,1,0,0,0,Autumn 22
CL60201- ,0,0,0,2,0,0,0,Autumn 22
ET60007- ,0,0,1,0,0,0,0,Spring 22
EE60043- ,0,0,0,0,0,0,1,Spring 22
AT60005- ,0,2,0,0,0,0,0,Autumn 22
EE21004-MEASUREMENTS AND ELECTRONIC INSTRUMENTS ,0,0,0,9,11,2,2,Spring 22
EE29004-MEASUREMENTS AND ELECTRONIC INSTRUMENTS LAB. ,1,6,11,4,2,0,0,Spring 22
EX30008-GEOPHYSICAL SIGNAL PROCESSING ,3,10,7,2,1,0,0,Spring 22
EX31006-GRAVITY & MAGNETIC METHODS OF PROSPECTING ,0,1,12,7,3,1,0,Spring 22
EX38002-FIELD WORK ,2,10,12,0,0,0,0,Spring 22
EX39006-GRAVITY & MAGNETIC METHODS LAB. ,7,4,7,4,1,1,0,Spring 22
EX50017-GEOPHYSICAL INVERSE THEORY ,6,8,13,18,3,0,0,Spring 22
EX40009-SEISMOLOGY ,0,0,0,1,3,12,8,Autumn 22
EX41001-ELECTRICAL METHODS OF  PROSPECTING ,0,0,2,1,8,9,4,Autumn 22
EX41003-SEISMIC METHODS OF PROSPECTING ,0,0,0,2,6,14,2,Autumn 22
EX49001-ELECTRICAL METHODS LAB. ,0,2,16,2,3,0,1,Autumn 22
EX49003-SEISMIC METHODS LAB. ,0,0,1,3,6,12,2,Autumn 22
GG41001-GEOCHEMISTRY ,1,4,8,9,9,5,0,Autumn 22
IE30002-INSTRUMENTATION DEVICES-II ,2,7,23,5,1,1,0,Spring 22
IE39002-INSTRUMENTATION LABORATORY-II ,5,10,12,11,1,0,0,Spring 22
IE47007-PROJECT-I ,4,10,3,0,0,0,1,Autumn 22
IE49002-INSTRUMENTATION SYSTEM DESIGN ,3,15,13,0,0,1,0,Autumn 22
ET60017- ,0,1,0,0,0,0,0,Autumn 22
IE47003-PROJECT ,2,0,2,1,0,0,0,Autumn 22
MA41002-MODERN ALGEBRA ,5,22,8,3,1,0,0,Spring 22
MA60036- ,0,0,1,0,0,0,0,Spring 22
MA21203-COMBINATORICS AND GRAPH THEORY ,12,22,11,15,6,10,3,Autumn 22
MA60265- ,0,1,1,0,0,0,0,Autumn 22
IM31002-QUALITY ENGINEERING ,8,31,18,2,6,0,0,Spring 22
IM31006-SIMULATION ,8,28,18,8,3,0,0,Spring 22
IM31010-MANAGEMENT OF INVENTORY SYSTEMS ,4,28,18,11,4,0,0,Spring 22
IM31012-OPTIMISATION AND HEURISTIC METHODS ,11,8,12,18,12,4,0,Spring 22
IM39003-OPTIMISATION AND HEURISTIC METHODS PROJECT ,7,30,19,8,0,1,0,Spring 22
IM39006-SIMULATION LAB. ,14,44,7,0,0,0,0,Spring 22
ME30604-MACHINES TOOLS AND MACHINING ,21,188,57,11,1,0,1,Spring 22
ME39604-MACHINES TOOLS AND MACHINING LAB. ,13,206,52,7,0,1,0,Spring 22
IM41001-PRODUCT DEVELOPMENT ,12,30,11,7,3,2,0,Autumn 22
IM47003-PROJECT-I ,5,16,16,5,0,0,2,Autumn 22
IM48003-SUMMER TRAINING ,2,7,17,7,0,0,0,Autumn 22
IM49001-PRODUCT DEVELOPMENT PROJECT ,6,28,22,9,0,0,0,Autumn 22
MA60239- ,0,0,0,0,0,1,0,Autumn 22
GG30002-STRATIGRAPHY ,0,6,14,9,3,1,0,Spring 22
GG31004-SEDIMENTOLOGY ,5,12,12,4,0,0,0,Spring 22
GG31006-IGNEOUS PETROLOGY ,0,5,15,11,2,0,0,Spring 22
GG38002-FIELD WORK (3 WEEKS) ,2,7,4,2,16,2,0,Spring 22
GG39001-IGNEOUS PETROLOGY LAB. ,4,11,8,10,0,0,0,Spring 22
GG39008-SEDIMENTOLOGY LAB. ,2,3,8,4,11,3,2,Spring 22
GG41005-ORE GEOLOGY ,2,8,12,8,3,0,0,Autumn 22
GG41007-ADVANCED STRUCTURAL GEOLOGY ,0,2,4,10,11,5,1,Autumn 22
GG41011-GEOPHYSICAL PROSPECTING ,0,3,10,12,2,5,1,Autumn 22
GG49005-ORE GEOLOGY LAB. ,6,10,11,6,0,0,0,Autumn 22
GG49007-ADVANCED STRUCTURAL GEOLOGY LAB. ,2,20,10,1,0,0,0,Autumn 22
GG49011-GEOPHYSICAL PROSPECTING LAB. ,11,22,0,0,0,0,0,Autumn 22
HS30002-COMPARATIVE DEVELOPMENT PERSPECTIVE ,18,21,14,0,0,0,0,Spring 22
HS31082-MONETARY ECONOMICS ,31,23,1,0,0,0,0,Spring 22
HS38002-SEMINAR ,5,15,33,0,0,0,0,Spring 22
HS60020- ,1,2,0,0,0,0,0,Spring 22
HS40007-ECONOMETRIC ANALYSIS-II ,5,17,20,10,0,0,1,Autumn 22
HS49009-ECONOMETRIC ANALYSIS II LABORATORY ,13,23,16,1,0,0,0,Autumn 22
MA51109-COMPUTATIONAL STATISTICS ,0,6,11,14,17,6,0,Autumn 22
HS40093-INSTITUTIONAL ECONOMICS ,5,0,0,0,0,0,0,Autumn 22
MA30002-MODERN ALGEBRA ,0,4,37,22,4,0,0,Spring 22
MA38002-COMPREHENSIVE VIVA ,7,9,17,15,11,4,0,Spring 22
MA51002-MEASURE THEORY AND INTEGRATION ,1,8,25,26,3,0,0,Spring 22
MA41007-FUNCTIONAL ANALYSIS ,5,17,14,12,15,0,0,Autumn 22
MA41101-THEORY OF COMPILER DESIGN ,0,5,0,2,1,0,0,Autumn 22
MA49003-SYSTEMS PROGRAMMING LAB. ,5,15,19,20,4,0,0,Autumn 22
MA41103-FORMAL LANGUAGES AND THEORY OF COMPUTATION ,20,10,12,2,3,0,0,Autumn 22
ME22004-DYNAMICS OF MACHINES ,2,12,35,80,20,6,0,Spring 22
ME30602-DESIGN OF MACHINE ELEMENTS ,8,78,99,25,2,0,0,Spring 22
ME39602-MACHINE DESIGN PRACTICE ,6,49,59,40,37,21,1,Spring 22
ME39606-THERMO FLUIDS LAB. - I ,11,27,72,42,2,1,0,Spring 22
ME41001-APPLIED THERMO-FLUIDS I ,17,33,76,24,4,0,0,Spring 22
ME40601-SYSTEMS & CONTROL ,12,18,18,26,20,36,1,Autumn 22
ME40701-APPLIED THERMO FLUIDS-II ,4,9,13,14,18,13,1,Autumn 22
ME47603-PROJECT-I ,23,35,23,17,2,0,5,Autumn 22
ME49601-THERMO FLUIDS LAB-II ,5,30,28,7,1,0,1,Autumn 22
MF40201-MICRO-ELECTRO-MECHANICAL SYSTEMS (MEMS) ,0,1,2,2,2,2,0,Autumn 22
ME60235- ,2,6,14,10,18,12,1,Autumn 22
ME61003- ,1,0,1,5,1,0,0,Autumn 22
ME40111-MODERN METHODS OF MANUFACTURING ,3,14,17,19,6,1,0,Autumn 22
ME47601-PROJECT-I ,8,31,13,6,5,0,1,Autumn 22
MF49601-NON TRADITIONAL MANUFACTURING & CIM LAB. ,6,66,39,8,0,0,0,Autumn 22
ME60233- ,0,1,1,0,1,2,0,Autumn 22
MF40603-COMPUTER INTEGRATED MANUFACTURING ,6,11,22,15,5,0,1,Autumn 22
MF40301-RAPID PROTOTYPING ,0,0,0,0,0,1,0,Autumn 22
ME60401- ,2,3,2,0,2,3,0,Autumn 22
ME60405- ,1,0,2,4,4,0,1,Autumn 22
ME69035- ,2,5,3,2,0,0,0,Autumn 22
ME61203- ,0,3,3,2,1,0,0,Autumn 22
ME69601- ,1,3,0,2,0,2,1,Autumn 22
MA60044- ,0,0,0,1,0,0,0,Spring 22
IM21204-OPERATIONS RESEARCH II ,7,39,26,8,0,0,0,Spring 22
MT31012-MATERIAL CHARACTERIZATION ,5,41,21,3,0,0,0,Spring 22
MT31022-X-RAY DIFFRACTION & TRANSMISSION ELECTRON MICROSCOPY ,2,30,17,21,1,0,0,Spring 22
MT32008-IRON MAKING & STEELMAKING ,9,24,28,7,3,0,0,Spring 22
MT39004-MATERIALS CHARACTERISATION LAB. ,9,22,25,12,2,0,0,Spring 22
MT39022-X-RAY DIFFRACTION & TRANSMISSION ELECTRON MICROSCOPY LABORATORY ,5,27,30,8,1,0,0,Spring 22
MT41009-COMPUTER APPLICATIONS IN METALLURGICAL PROCESSES ,1,22,26,20,2,0,0,Spring 22
MT49009-COMPUTER APPLICATIONS IN METALLURGICAL PROCESSES LABORATORY ,3,33,21,9,5,0,0,Spring 22
MT41013-CORROSION & ENVIRONMENTAL DEGRADATION OF MATERIALS ,35,45,38,14,8,7,0,Autumn 22
MT41019-CASTING & SOLIDIFICATION ,3,6,5,15,7,8,1,Autumn 22
MT41027-DESIGN & SELECTION OF MATERIALS ,4,23,15,4,0,0,0,Autumn 22
MT47003-PROJECT-I ,10,22,15,6,0,0,1,Autumn 22
MT41011-PHYSICS OF MATERIALS ,8,5,4,4,4,3,2,Autumn 22
MT41037-POWDER METALLURGY ,1,5,4,4,2,1,1,Autumn 22
MT41023-COMPOSITE MATERIALS ,4,1,3,2,0,0,0,Autumn 22
MS60058- ,0,1,0,0,1,0,0,Spring 22
MT60201- ,1,2,0,0,0,0,0,Autumn 22
RT30018-RUBBER PROCESS ENGINEERING ,0,1,52,13,2,0,0,Spring 22
BM63098- ,0,0,1,0,0,0,0,Spring 22
MI31002-MINE HAZARDS AND RESCUE ,10,15,45,9,0,0,0,Spring 22
MI31004-ECONOMICS OF MINING ENTERPRISES ,10,15,16,22,16,0,0,Spring 22
MI31008-SURFACE MINING ,8,38,24,5,3,1,0,Spring 22
MI38002-FIELD TRIPS ,8,26,24,12,9,0,0,Spring 22
MI39002-MINE HAZARDS AND RESCUE LABORATORY ,4,11,36,22,4,2,0,Spring 22
MI40021-APPLIED ROCK ENGINEERING ,5,16,28,15,8,7,0,Spring 22
MI40001-ENVIRONMENTAL ENGINEERING ,7,17,18,13,9,13,2,Autumn 22
MI47005-PROJECT-I ,11,22,18,12,4,1,0,Autumn 22
MI69203- ,8,44,23,4,0,0,0,Autumn 22
CS60055- ,1,1,0,1,0,0,0,Autumn 22
MI61003- ,1,3,4,1,1,2,0,Autumn 22
MI60041- ,1,1,2,2,5,1,0,Autumn 22
MI62001- ,1,1,2,2,4,4,0,Autumn 22
MI60051- ,0,0,0,1,0,0,0,Autumn 22
NA31002-MARINE DESIGN ,2,21,21,4,2,1,0,Spring 22
NA31004-CAD-CAM MARINE DESIGN & PRODUCTION ,14,18,11,7,1,0,0,Spring 22
NA31006-SEAKEEPING & MANEUVERING ,1,7,30,7,5,1,0,Spring 22
NA39004-CAD-CAM LAB. ,2,28,19,2,0,0,0,Spring 22
NA39006-MARINE DESIGN LABORATORY - I ,7,28,14,2,0,0,0,Spring 22
NA47005-PROJECT-I ,4,12,8,4,0,0,1,Autumn 22
NA49005-MARINE STRUCTURAL LABORATORY ,12,25,37,17,13,3,0,Autumn 22
NA49007-MARINE DESIGN LABORATORY - II ,2,8,24,16,1,0,0,Autumn 22
AE61001- ,0,0,0,1,0,0,0,Autumn 22
CL69203- ,1,0,0,0,0,0,0,Autumn 22
PH38002-COMPREHENSIVE VIVA VOCE - I ,4,9,10,6,3,3,0,Spring 22
PH39008-ELECTROMAGNETISM & OPTICS LAB - III ,5,17,10,1,0,2,0,Spring 22
PH41008-MATHEMATICAL METHODS -II ,5,33,41,4,2,1,0,Spring 22
PH41010-QUANTUM MECHANICS-II ,2,59,15,9,1,0,0,Spring 22
PH41012-COMPUTATIONAL METHODS ,3,44,36,2,1,0,0,Spring 22
PH49012-COMPUTATIONAL PHYSICS LAB. ,12,25,28,13,5,3,0,Spring 22
PH49016-NUCLEAR & PARTICLE PHYSICS LAB I ,4,80,2,0,0,0,0,Spring 22
PH41017-CONDENSED MATTER PHYSICS-II ,3,5,7,22,25,24,0,Autumn 22
PH41019-NUCLEAR AND PARTICLE PHYSICS -II ,8,11,13,24,14,13,3,Autumn 22
PH41023-STATISTICAL PHYSICS-I ,4,16,26,18,11,11,0,Autumn 22
PH49001-CONDENSED MATTER PHYSICS LAB-I ,11,17,6,0,1,0,0,Autumn 22
PH49019-NUCLEAR AND PARTICLE PHYSICS LAB-II ,21,50,13,1,0,1,0,Autumn 22
PH60030- ,0,1,0,0,0,0,0,Spring 22
PH60058- ,1,2,0,0,0,0,0,Spring 22
CD61002- ,0,1,0,0,0,0,0,Spring 22
AE20202-INTRODUCTION TO FLIGHT VEHICLE CONTROLS ,3,14,22,20,9,3,2,Spring 22
AE21202-LOW SPEED AERODYNAMICS ,3,2,8,10,41,8,0,Spring 22
AE21204-INTRODUCTION TO AEROSPACE STRUCTURES ,4,15,32,14,6,1,1,Spring 22
AE29202-AERODYNAMICS LABORATORY - I ,25,30,9,4,3,0,1,Spring 22
AE29204-STRUCTURES LABORATORY - I ,20,40,7,3,2,0,0,Spring 22
EA10010-EXTRA ACADEMIC ACTIVITY-IV ,349,926,358,72,36,20,4,Spring 22
MA20202-TRANSFORM CALCULUS ,61,461,167,21,13,6,0,Spring 22
AE31007-MECHANICS OF FLIGHT ,1,4,5,21,24,12,3,Autumn 22
AE31009-AEROSPACE STRUCTURAL ANALYSIS ,3,18,17,17,12,4,0,Autumn 22
AE31103-HIGH SPEED AERODYNAMICS ,2,3,16,18,24,8,0,Autumn 22
AE39001-AERODYNAMICS LAB-II ,25,42,4,0,0,0,0,Autumn 22
AE39003-STRUCTURES LAB -II ,7,59,5,0,0,0,0,Autumn 22
AE39201-INNOVATION LABORATORY I ,0,47,7,12,6,0,0,Autumn 22
AE49012-FLIGHT TESTING LABORATORY ,45,25,0,0,0,0,0,Autumn 22
AE40033-FINITE ELEMENT METHODS ,0,0,4,4,3,0,1,Autumn 22
HS21201-ECONOMICS ,63,171,130,21,4,3,0,Spring 22
HS30073-ENVIRONMENTAL SOCIOLOGY ,9,26,27,3,0,0,0,Spring 22
MA20205-PROBABILITY AND STATISTICS ,78,121,162,253,305,303,130,Autumn 22
AG20202-CROP PRODUCTION TECHNOLOGY ,1,24,22,9,8,4,0,Spring 22
AG29202-CROP PRODUCTION TECHNOLOGY LABORATORY ,2,7,49,8,1,0,1,Spring 22
EC21201-BASIC ELECTRONICS ,108,305,119,28,4,2,0,Spring 22
EC29201-BASIC ELECTRONICS LABORATORY ,141,298,97,22,5,1,0,Spring 22
ME21202-BASIC THERMODYNAMICS ,9,33,58,144,53,11,5,Spring 22
AG31003-LAND & WATER RESOURCES ENGINEERING ,6,18,14,17,6,6,0,Autumn 22
AG31005-PRINCIPLES OF FOOD ENGINEERING ,4,6,7,15,11,17,7,Autumn 22
AG31201-DESIGN OF FARM MACHINERY ,0,5,17,27,15,3,0,Autumn 22
AG39003-LAND & WATER RESOURCES ENGINEERING LAB. ,16,27,18,5,0,1,0,Autumn 22
AG39005-FOOD ENGINEERING LAB. ,1,16,35,12,3,0,0,Autumn 22
AG39201-FARM MACHINERY LABORATORY ,1,49,16,0,0,0,1,Autumn 22
EP21201-INTRODUCTION TO INNOVATION AND ENTREPRENEURSHIP ,19,35,65,18,0,0,0,Spring 22
RE60024- ,0,1,0,0,0,0,0,Spring 22
RE60011- ,0,0,0,0,1,0,0,Autumn 22
AR20202-WATER SUPPLY AND SANITATION ,0,5,22,13,5,1,0,Spring 22
AR23302-ARCHITECTURAL DESIGN II ,8,11,24,1,1,0,0,Spring 22
AR23304-INDIGENOUS TECHNOLOGIES AND INNOVATIONS WORKSHOP ,5,7,25,6,4,0,0,Spring 22
AR28202-FIELD TRIP I ,4,16,26,1,0,0,0,Spring 22
AR29202-MATERIAL TESTING LABORATORY ,7,28,3,2,5,2,0,Spring 22
AR29204-BUILDING CONSTRUCTION SESSIONAL II ,3,12,26,0,5,1,0,Spring 22
CE21206-ELEMENTARY STRUCTURAL ANALYSIS ,0,2,17,26,2,0,0,Spring 22
CE29206-SURVEYING PRACTICE ,1,16,28,0,0,1,1,Spring 22
AR30201-DEVELOPMENT OF CONTEMPORARY ARCHITECTURE 1 ,5,8,10,11,8,5,0,Autumn 22
"AR30203-SPECIFICATION, ESTIMATION AND COSTING ",2,5,14,11,7,7,0,Autumn 22
AR32201-WORKING DRAWING I ,4,19,20,3,0,0,0,Autumn 22
AR34201-ARCHITECTURAL DESIGN III ,4,5,32,4,0,0,0,Autumn 22
CE31001-DESIGN OF RC STRUCTURE ,5,17,27,39,43,22,0,Autumn 22
EE30024-ILLUMINATION AND ELECTRICAL SERVICES ,0,6,10,16,11,3,0,Autumn 22
BT20202-PLANT TISSUE AND CELL CULTURE ,5,42,31,11,2,0,0,Spring 22
BT29202-PLANT TISSUE AND CELL CULTURE LABORATORY ,1,11,27,8,3,1,0,Spring 22
BT29204-CELL AND MOLECULAR BIOLOGY LABORATORY ,5,20,18,6,2,0,0,Spring 22
CH21202-MASS TRANSFER I ,0,7,34,81,46,6,1,Spring 22
BT30201-BIOPROCESS TECHNOLOGY ,3,7,9,18,7,7,0,Autumn 22
BT31201-GENETICS AND GENETIC ENGINEERING ,5,10,8,5,8,15,0,Autumn 22
BT39201-ANALYTICAL BIOCHEMISTRY LABORATORY ,13,20,17,1,0,0,0,Autumn 22
CH21203-CHEMICAL PROCESS CALCULATIONS ,13,38,43,44,20,19,0,Autumn 22
EP21201-INTRODUCTION TO INNOVATION AND ENTREPRENEURSHIP ,6,23,24,5,1,0,1,Autumn 22
MM61317- ,3,0,0,0,0,0,0,Autumn 22
CE21202-STRUCTURAL ANALYSIS ,8,19,36,35,5,5,0,Spring 22
CE21204-TRANSPORTATION ENGINEERING ,6,46,47,7,4,1,0,Spring 22
CE29202-GEOMATICS PRACTICE ,20,51,36,3,1,0,0,Spring 22
